eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6981666684150696,0.6847619047619047,0.6847619047619047,0.6847619047619047,0.6847619047619047,0.3762757648820768,"[array([1867, 1260]), array([ 726, 2447])]",6.2594,14.378,0.959,,,,,,,,,
,,,,,,,,,,0.7223,9.888888888888889e-05,0.06,1.0,,,,,
,,,,,,,,,,0.731,9.777777777777778e-05,0.11,2.0,,,,,
,,,,,,,,,,0.7246,9.666666666666667e-05,0.17,3.0,,,,,
,,,,,,,,,,0.7217,9.555555555555557e-05,0.22,4.0,,,,,
,,,,,,,,,,0.7233,9.444444444444444e-05,0.28,5.0,,,,,
,,,,,,,,,,0.7151,9.333333333333334e-05,0.33,6.0,,,,,
,,,,,,,,,,0.7122,9.222222222222223e-05,0.39,7.0,,,,,
,,,,,,,,,,0.7028,9.111111111111112e-05,0.44,8.0,,,,,
,,,,,,,,,,0.6926,9e-05,0.5,9.0,,,,,
,,,,,,,,,,0.6887,8.888888888888889e-05,0.56,10.0,,,,,
,,,,,,,,,,0.6867,8.777777777777778e-05,0.61,11.0,,,,,
,,,,,,,,,,0.6779,8.666666666666667e-05,0.67,12.0,,,,,
,,,,,,,,,,0.6642,8.555555555555556e-05,0.72,13.0,,,,,
,,,,,,,,,,0.6766,8.444444444444444e-05,0.78,14.0,,,,,
,,,,,,,,,,0.6588,8.333333333333334e-05,0.83,15.0,,,,,
,,,,,,,,,,0.6476,8.222222222222222e-05,0.89,16.0,,,,,
,,,,,,,,,,0.645,8.111111111111112e-05,0.94,17.0,,,,,
,,,,,,,,,,0.1141,8e-05,1.0,18.0,,,,,
,,,,,,,,,,0.6296,7.88888888888889e-05,1.06,19.0,,,,,
,,,,,,,,,,0.6106,7.777777777777778e-05,1.11,20.0,,,,,
,,,,,,,,,,0.6181,7.666666666666667e-05,1.17,21.0,,,,,
,,,,,,,,,,0.6109,7.555555555555556e-05,1.22,22.0,,,,,
,,,,,,,,,,0.5826,7.444444444444444e-05,1.28,23.0,,,,,
,,,,,,,,,,0.5877,7.333333333333333e-05,1.33,24.0,,,,,
,,,,,,,,,,0.5599,7.222222222222222e-05,1.39,25.0,,,,,
,,,,,,,,,,0.5701,7.111111111111112e-05,1.44,26.0,,,,,
,,,,,,,,,,0.5482,7e-05,1.5,27.0,,,,,
,,,,,,,,,,0.5659,6.88888888888889e-05,1.56,28.0,,,,,
,,,,,,,,,,0.5244,6.777777777777778e-05,1.61,29.0,,,,,
,,,,,,,,,,0.5065,6.666666666666667e-05,1.67,30.0,,,,,
,,,,,,,,,,0.5195,6.555555555555556e-05,1.72,31.0,,,,,
,,,,,,,,,,0.4986,6.444444444444446e-05,1.78,32.0,,,,,
,,,,,,,,,,0.4584,6.333333333333333e-05,1.83,33.0,,,,,
,,,,,,,,,,0.472,6.222222222222222e-05,1.89,34.0,,,,,
,,,,,,,,,,0.4514,6.111111111111112e-05,1.94,35.0,,,,,
,,,,,,,,,,0.0808,6e-05,2.0,36.0,,,,,
,,,,,,,,,,0.4484,5.8888888888888896e-05,2.06,37.0,,,,,
,,,,,,,,,,0.4017,5.7777777777777776e-05,2.11,38.0,,,,,
,,,,,,,,,,0.3659,5.666666666666667e-05,2.17,39.0,,,,,
,,,,,,,,,,0.375,5.555555555555556e-05,2.22,40.0,,,,,
,,,,,,,,,,0.3463,5.4444444444444446e-05,2.28,41.0,,,,,
,,,,,,,,,,0.3435,5.333333333333333e-05,2.33,42.0,,,,,
,,,,,,,,,,0.3334,5.222222222222223e-05,2.39,43.0,,,,,
,,,,,,,,,,0.3157,5.111111111111111e-05,2.44,44.0,,,,,
,,,,,,,,,,0.3291,5e-05,2.5,45.0,,,,,
,,,,,,,,,,0.2681,4.888888888888889e-05,2.56,46.0,,,,,
,,,,,,,,,,0.2724,4.7777777777777784e-05,2.61,47.0,,,,,
,,,,,,,,,,0.2631,4.666666666666667e-05,2.67,48.0,,,,,
,,,,,,,,,,0.2264,4.555555555555556e-05,2.72,49.0,,,,,
,,,,,,,,,,0.2202,4.4444444444444447e-05,2.78,50.0,,,,,
,,,,,,,,,,0.233,4.3333333333333334e-05,2.83,51.0,,,,,
,,,,,,,,,,0.1809,4.222222222222222e-05,2.89,52.0,,,,,
,,,,,,,,,,0.2427,4.111111111111111e-05,2.94,53.0,,,,,
,,,,,,,,,,0.0318,4e-05,3.0,54.0,,,,,
,,,,,,,,,,0.1939,3.888888888888889e-05,3.06,55.0,,,,,
,,,,,,,,,,0.2012,3.777777777777778e-05,3.11,56.0,,,,,
,,,,,,,,,,0.1813,3.6666666666666666e-05,3.17,57.0,,,,,
,,,,,,,,,,0.1488,3.555555555555556e-05,3.22,58.0,,,,,
,,,,,,,,,,0.1826,3.444444444444445e-05,3.28,59.0,,,,,
,,,,,,,,,,0.1883,3.3333333333333335e-05,3.33,60.0,,,,,
,,,,,,,,,,0.1431,3.222222222222223e-05,3.39,61.0,,,,,
,,,,,,,,,,0.1593,3.111111111111111e-05,3.44,62.0,,,,,
,,,,,,,,,,0.1622,3e-05,3.5,63.0,,,,,
,,,,,,,,,,0.1472,2.8888888888888888e-05,3.56,64.0,,,,,
,,,,,,,,,,0.1309,2.777777777777778e-05,3.61,65.0,,,,,
,,,,,,,,,,0.1266,2.6666666666666667e-05,3.67,66.0,,,,,
,,,,,,,,,,0.1339,2.5555555555555554e-05,3.72,67.0,,,,,
,,,,,,,,,,0.1603,2.4444444444444445e-05,3.78,68.0,,,,,
,,,,,,,,,,0.1405,2.3333333333333336e-05,3.83,69.0,,,,,
,,,,,,,,,,0.1448,2.2222222222222223e-05,3.89,70.0,,,,,
,,,,,,,,,,0.2131,2.111111111111111e-05,3.94,71.0,,,,,
,,,,,,,,,,0.0182,2e-05,4.0,72.0,,,,,
,,,,,,,,,,0.109,1.888888888888889e-05,4.06,73.0,,,,,
,,,,,,,,,,0.1702,1.777777777777778e-05,4.11,74.0,,,,,
,,,,,,,,,,0.1092,1.6666666666666667e-05,4.17,75.0,,,,,
,,,,,,,,,,0.1165,1.5555555555555555e-05,4.22,76.0,,,,,
,,,,,,,,,,0.1406,1.4444444444444444e-05,4.28,77.0,,,,,
,,,,,,,,,,0.1225,1.3333333333333333e-05,4.33,78.0,,,,,
,,,,,,,,,,0.1371,1.2222222222222222e-05,4.39,79.0,,,,,
,,,,,,,,,,0.1747,1.1111111111111112e-05,4.44,80.0,,,,,
,,,,,,,,,,0.1328,1e-05,4.5,81.0,,,,,
,,,,,,,,,,0.1409,8.88888888888889e-06,4.56,82.0,,,,,
,,,,,,,,,,0.0894,7.777777777777777e-06,4.61,83.0,,,,,
,,,,,,,,,,0.1156,6.666666666666667e-06,4.67,84.0,,,,,
